,sfs,kapitel i OSL,paragraf i OSL,sekretess,kategori,antal år sekretessen gäller,kommentar,sdate,pre,prop,eu,prop_link,text_length,pages,sfs_url
227,2023:707,19,3a,,,,övergångsbestämmelse,2024-01-01 överg.best.,"Prop. 2023/24:6, bet. 2023/24:TU3, rskr. 2023/24:39",['2023/24:6'],False,['https://data.riksdagen.se/fil/63066AD2-7926-43E7-9F23-7D1ED5B4679E'],824,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-707.pdf
228,2023:718,30,4d,ökad,,70,inkassoverksamhet,2024-01-01,"Prop. 2023/24:23, bet. 2023/24:FiU18, rskr. 2023/24:33",['2023/24:23'],False,['https://data.riksdagen.se/fil/387F09B2-5902-47C9-B3FE-81F3CB3764B9'],2168,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-718.pdf
229,2023:718,30,5,ökad,,70,innehav av aktier,2024-01-01,"Prop. 2023/24:23, bet. 2023/24:FiU18, rskr. 2023/24:33",['2023/24:23'],False,['https://data.riksdagen.se/fil/387F09B2-5902-47C9-B3FE-81F3CB3764B9'],2168,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-718.pdf
230,2023:718,30,8e,ökad,,,överföring av sekretess till JK,2024-01-01,"Prop. 2023/24:23, bet. 2023/24:FiU18, rskr. 2023/24:33",['2023/24:23'],False,['https://data.riksdagen.se/fil/387F09B2-5902-47C9-B3FE-81F3CB3764B9'],2168,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-718.pdf
231,2024:9,35,5,ökad,,70,preventiva vistelseförbud,2024-02-01,"Prop. 2023/24:57, bet. 2023/24:JuU12, rskr. 2023/24:117",['2023/24:57'],False,['https://data.riksdagen.se/fil/4BA3CDE8-915D-4441-85A1-786102AD1C26'],1311,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2024-01/SFS2024-9.pdf
232,2024:32,42,9,ökad,,70,Sveriges adoptionsverksamhet,2024-03-01,"Prop. 2023/24:50, bet. 2023/24:SoU10, rskr. 2023/24:124",['2023/24:50'],False,['https://data.riksdagen.se/fil/83BA58A0-4D37-464F-B93B-D4F2796207F2'],2244,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2024-02/SFS2024-32.pdf
233,2024:88,26,1,ökad,,70,verksamhet om skyddat boende för barn,2024-04-01,"Prop. 2023/24:31, bet. 2023/24:SoU6, rskr. 2023/24:130",['2023/24:31'],False,['https://data.riksdagen.se/fil/7FD34107-7748-4CE1-983F-FD1FC465A1CD'],6940,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2024-02/SFS2024-88.pdf
234,2024:88,26,2,ökad,,,barns vistelseort,2024-04-01,"Prop. 2023/24:31, bet. 2023/24:SoU6, rskr. 2023/24:130",['2023/24:31'],False,['https://data.riksdagen.se/fil/7FD34107-7748-4CE1-983F-FD1FC465A1CD'],6940,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2024-02/SFS2024-88.pdf
235,2024:88,26,7,minskad,,,beslut om skyddat boende,2024-04-01,"Prop. 2023/24:31, bet. 2023/24:SoU6, rskr. 2023/24:130",['2023/24:31'],False,['https://data.riksdagen.se/fil/7FD34107-7748-4CE1-983F-FD1FC465A1CD'],6940,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2024-02/SFS2024-88.pdf
236,2024:88,26,14b,ökad,,70,IVO se OSL 26:1,2024-04-01,"Prop. 2023/24:31, bet. 2023/24:SoU6, rskr. 2023/24:130",['2023/24:31'],False,['https://data.riksdagen.se/fil/7FD34107-7748-4CE1-983F-FD1FC465A1CD'],6940,3,https://svenskforfattningssamling.se/sites/default/files/sfs/2024-02/SFS2024-88.pdf
