,sfs,kapitel i OSL,paragraf i OSL,sekretess,kategori,antal år sekretessen gäller,kommentar,sdate,pre,prop,eu,prop_link,text_length,pages,sfs_url
168,2022:1242,28,12,minskad,,50,ändrat skaderekvisit gäller hela arbetsmarknaden,2022-12-01 överg.best.,"Prop. 2021/22:216, bet. 2021/22:AU15, rskr. 2021/22:426",['2021/22:216'],False,['http://data.riksdagen.se/fil/3747B808-3363-4331-ABBC-C1AB9C169D08'],2522,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1242.pdf
169,2022:1242,28,12a,,,50,sekretessbrytande mellan myndighet och leverantör,2022-12-01 överg.best.,"Prop. 2021/22:216, bet. 2021/22:AU15, rskr. 2021/22:426",['2021/22:216'],False,['http://data.riksdagen.se/fil/3747B808-3363-4331-ABBC-C1AB9C169D08'],2522,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1242.pdf
170,2022:1242,28,17,minskad,,,meddelarfrihet gäller i ökad usträckning,2022-12-01 överg.best.,"Prop. 2021/22:216, bet. 2021/22:AU15, rskr. 2021/22:426",['2021/22:216'],False,['http://data.riksdagen.se/fil/3747B808-3363-4331-ABBC-C1AB9C169D08'],2522,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1242.pdf
171,2022:1297,33,1,ökad,,,missgynnande närståendevård,2022-08-02,"Prop. 2021/22:175, bet. 2021/22:AU14, rskr. 2021/22:427",['2021/22:175'],False,['http://data.riksdagen.se/fil/804863ED-703F-4436-B603-AB287561A5A9'],2586,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1297.pdf
172,2022:1297,33,3,ökad,,,missgynnande närståendevård,2022-08-02,"Prop. 2021/22:175, bet. 2021/22:AU14, rskr. 2021/22:427",['2021/22:175'],False,['http://data.riksdagen.se/fil/804863ED-703F-4436-B603-AB287561A5A9'],2586,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1297.pdf
173,2022:1314,18,6,ökad,,,"skyddsidentitet i annan stat,",9,"Prop. 2021/22:186, bet. 2021/22:JuU46, rskr. 2021/22:454",['2021/22:186'],False,['http://data.riksdagen.se/fil/0C7F6285-D67F-423E-9EB8-EB9DC2B43339'],2131,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1314.pdf
174,2022:1314,35,7,ökad,,,hänvisning till 25:12a,9,"Prop. 2021/22:186, bet. 2021/22:JuU46, rskr. 2021/22:454",['2021/22:186'],False,['http://data.riksdagen.se/fil/0C7F6285-D67F-423E-9EB8-EB9DC2B43339'],2131,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1314.pdf
175,2022:1314,35,12a,ökad,,,Domstolssekretess om personuppgifter i mål,9,"Prop. 2021/22:186, bet. 2021/22:JuU46, rskr. 2021/22:454",['2021/22:186'],False,['http://data.riksdagen.se/fil/0C7F6285-D67F-423E-9EB8-EB9DC2B43339'],2131,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1314.pdf
176,2022:1314,25,13a,ökad,,,Domstolssekrettess om parts närvaro,9,"Prop. 2021/22:186, bet. 2021/22:JuU46, rskr. 2021/22:454",['2021/22:186'],False,['http://data.riksdagen.se/fil/0C7F6285-D67F-423E-9EB8-EB9DC2B43339'],2131,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-07/SFS2022-1314.pdf
177,2022:1495,10,23,,,,sekretessbrytande mellan myndigheter,2023-01-02,"Prop. 2021/22:259, bet. 2022/23:TU2, rskr. 2022/23:18",['2021/22:259'],False,['http://data.riksdagen.se/fil/BC5C7AB8-1F44-49CA-91B1-D35D43CE0B33'],3247,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2022-11/SFS2022-1495.pdf
